Zone,Time
Left,2025-10-19 19:32:34
Left,2025-10-19 19:32:36
Left,2025-10-19 19:32:36
Left,2025-10-19 19:32:36
Left,2025-10-19 19:32:36
Left,2025-10-19 19:32:36
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:37
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:38
Left,2025-10-19 19:32:39
Left,2025-10-19 19:32:39
Left,2025-10-19 19:32:39
Left,2025-10-19 19:32:39
Left,2025-10-19 19:32:39
Left,2025-10-19 19:32:39
Left,2025-10-19 19:32:39
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:40
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:41
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:42
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:43
Left,2025-10-19 19:32:44
Left,2025-10-19 19:32:44
Left,2025-10-19 19:32:44
Left,2025-10-19 19:32:44
Left,2025-10-19 19:32:44
Left,2025-10-19 19:32:44
Left,2025-10-19 19:32:45
Left,2025-10-19 19:32:45
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:46
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:47
Left,2025-10-19 19:32:48
Left,2025-10-19 19:32:48
Left,2025-10-19 19:32:48
Left,2025-10-19 19:32:48
Left,2025-10-19 19:32:48
Left,2025-10-19 19:32:48
Left,2025-10-19 19:32:48
Left,2025-10-19 19:32:48
Center,2025-10-19 19:32:34
Center,2025-10-19 19:32:36
Center,2025-10-19 19:32:36
Center,2025-10-19 19:32:36
Center,2025-10-19 19:32:36
Center,2025-10-19 19:32:36
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:37
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:38
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:39
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:40
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:41
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:42
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:43
Center,2025-10-19 19:32:44
Center,2025-10-19 19:32:44
Center,2025-10-19 19:32:44
Center,2025-10-19 19:32:44
Center,2025-10-19 19:32:44
Center,2025-10-19 19:32:44
Center,2025-10-19 19:32:45
Center,2025-10-19 19:32:45
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:46
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:47
Center,2025-10-19 19:32:48
Center,2025-10-19 19:32:48
Center,2025-10-19 19:32:48
Center,2025-10-19 19:32:48
Center,2025-10-19 19:32:48
